iter	Passed	Remaining
581	29825	21420
582	29866	21362
583	29909	21305
584	29957	21251
585	30002	21195
586	30042	21137
587	30086	21081
588	30131	21025
589	30175	20969
590	30222	20915
591	30272	20863
592	30318	20808
593	30364	20754
594	30408	20698
595	30450	20641
596	30498	20588
597	30545	20533
598	30592	20480
599	30635	20423
600	30682	20369
601	30727	20314
602	30774	20261
603	30823	20208
604	30870	20154
605	31024	20170
606	31167	20179
607	31212	20123
608	31257	20068
609	31304	20014
610	31348	19958
611	31394	19903
612	31437	19847
613	31485	19793
614	31551	19751
615	31606	19702
616	31653	19648
617	31700	19595
618	31749	19541
619	31811	19497
620	31863	19446
621	31911	19393
622	31959	19339
623	32017	19292
624	32064	19238
625	32111	19184
626	32158	19130
627	32238	19096
628	32316	19061
629	32362	19006
630	32408	18952
631	32456	18898
632	32501	18843
633	32553	18792
634	32596	18736
635	32638	18679
636	32688	18627
637	32735	18573
638	32781	18519
639	32826	18465
640	32868	18408
641	32917	18356
642	32970	18305
643	33009	18247
644	33057	18194
645	33102	18139
646	33154	18088
647	33197	18033
648	33240	17977
649	33288	17924
650	33339	17873
651	33386	17819
652	33431	17765
653	33484	17714
654	33538	17665
655	33586	17612
656	33632	17558
657	33682	17506
658	33727	17452
659	33773	17398
660	33827	17348
661	33883	17300
662	33932	17247
663	34057	17233
664	34243	17250
665	34294	17198
666	34336	17142
667	34382	17088
668	34432	17036
669	34478	16982
670	34531	16931
671	34576	16876
672	34633	16827
673	34685	16776
674	34738	16725
675	34793	16676
676	34843	16624
677	34895	16573
678	34950	16522
679	35001	16471
680	35051	16419
681	35105	16368
682	35157	16317
683	35211	16267
684	35253	16211
685	35307	16161
686	35363	16111
687	35473	16087
688	35524	16035
689	35576	15983
690	35630	15933
691	35688	15884
692	35742	15834
693	35797	15783
694	35855	15735
695	35906	15683
696	35960	15632
697	36013	15581
698	36062	15529
699	36113	15477
700	36167	15426
701	36210	15371
702	36262	15319
703	36315	15269
704	36368	15217
705	36419	15166
706	36474	15116
707	36532	15066
708	36587	15016
709	36640	14965
710	36694	14915
711	36753	14866
712	36804	14814
713	36856	14763
714	36916	14714
715	36970	14664
716	37028	14615
717	37077	14562
718	37133	14512
719	37187	14461
720	37244	14412
721	37299	14361
722	37556	14388
723	37741	14387
724	37820	14345
725	37950	14322
726	38037	14283
727	38127	14245
728	38207	14203
729	38291	14162
730	38388	14126
731	38525	14104
732	38614	14065
733	38687	14020
734	38760	13974
735	38833	13929
736	39190	13985
737	39787	14125
738	39970	14116
739	40181	14117
740	40365	14108
741	40583	14111
742	40795	14111
743	40975	14099
744	41119	14074
745	41298	14061
746	41459	14041
747	41692	14045
748	41976	14066
749	42522	14174
750	42940	14237
751	43165	14235
752	43336	14215
753	43484	14187
754	43941	14259
755	44084	14228
756	44312	14224
757	44448	14190
758	44614	14166
759	44747	14130
760	44868	14091
761	45125	14094
762	45211	14043
763	45299	13993
764	45376	13939
765	45459	13887
766	45549	13837
767	45624	13782
768	45711	13731
769	45800	13680
770	45880	13627
771	45958	13573
772	46030	13517
773	46099	13460
774	46161	13401
775	46223	13342
776	46285	13284
777	46338	13222
778	46398	13162
779	46455	13102
780	46516	13043
781	46578	12984
782	46636	12924
783	46690	12863
784	46745	12802
785	46803	12742
786	46854	12681
787	46904	12619
788	46957	12557
789	47047	12506
790	47118	12449
791	47189	12393
792	47257	12335
793	47478	12318
794	47664	12290
795	47726	12231
796	47802	12175
797	47866	12116
798	47925	12056
799	47997	11999
800	48076	11944
801	48137	11884
802	48193	11823
803	48248	11762
804	48316	11703
805	48406	11651
806	48462	11590
807	48523	11530
808	48578	11469
809	48638	11409
810	48692	11347
811	48746	11286
812	48795	11223
813	48900	11173
814	48971	11116
815	49026	11054
816	49075	10992
817	49128	10930
818	49179	10868
819	49228	10806
820	49273	10743
821	49322	10680
822	49378	10619
823	49427	10557
824	49473	10494
825	49516	10430
826	49564	10368
827	49614	10306
828	49663	10244
829	49709	10181
830	49756	10118
831	49807	10057
832	49853	9994
833	49894	9931
834	49944	9869
835	50005	9809
836	50054	9747
837	50106	9686
838	50157	9624
839	50199	9561
840	50248	9500
841	50299	9438
842	50354	9378
843	50403	9316
844	50449	9254
845	50491	9191
846	50542	9129
847	50723	9091
848	50866	9046
849	50955	8992
850	51023	8933
851	51083	8873
852	51140	8813
853	51193	8751
854	51242	8690
855	51288	8627
856	51333	8565
857	51384	8504
858	51433	8442
859	51482	8380
860	51531	8319
861	51598	8260
862	51681	8204
863	51724	8141
864	51769	8079
865	51809	8016
866	51856	7954
867	51906	7893
868	51954	7832
869	52006	7771
870	52054	7709
871	52095	7647
872	52130	7583
873	52180	7522
874	52217	7459
875	52260	7397
876	52304	7335
877	52349	7274
878	52431	7217
879	52488	7157
880	52581	7102
881	52633	7041
882	52689	6981
883	52738	6920
884	52830	6865
885	52903	6806
886	52947	6745
887	52991	6683
888	53031	6621
889	53073	6559
890	53108	6497
891	53155	6435
892	53200	6374
893	53248	6313
894	53292	6252
895	53351	6192
896	53397	6131
897	53447	6070
898	53493	6009
899	53543	5949
900	53592	5888
901	53648	5828
902	53762	5775
903	53840	5717
904	53928	5661
905	53986	5601
906	54038	5540
907	54084	5479
908	54137	5419
909	54184	5358
910	54234	5298
911	54283	5237
912	54347	5178
913	54426	5121
914	54475	5060
915	54520	4999
916	54568	4939
917	54624	4879
918	54678	4819
919	54727	4758
920	54776	4698
921	54804	4636
922	54872	4577
923	54965	4520
924	55010	4460
925	55054	4399
926	55094	4338
927	55175	4280
928	55246	4222
929	55285	4161
930	55321	4100
931	55356	4038
932	55391	3977
933	55430	3916
934	55461	3855
935	55495	3794
936	55540	3734
937	55577	3673
